x_data_plot1,y_data_plot1,x_data_plot2,y_data_plot2
0,1.8304973,215,0.057706114
1,1.578478,430,0.029366579
2,1.3540881,,
3,1.199648,,
4,1.099154,,
5,1.0196229,,
6,0.9582603,,
7,0.89815325,,
8,0.8420915,,
9,0.78930616,,
10,0.75011444,,
11,0.7111811,,
12,0.6797344,,
13,0.6668701,,
14,0.6493396,,
15,0.62663686,,
16,0.61227196,,
17,0.5923327,,
18,0.58468676,,
19,0.5715713,,
20,0.56349814,,
21,0.54760426,,
22,0.53993523,,
23,0.5399143,,
24,0.5249337,,
25,0.51382685,,
26,0.50973374,,
27,0.4987841,,
28,0.48624188,,
29,0.48175582,,
30,0.47461814,,
31,0.4645268,,
32,0.45702615,,
33,0.44891205,,
34,0.4412221,,
35,0.43386418,,
36,0.42481014,,
37,0.4166567,,
38,0.4094098,,
39,0.4080696,,
40,0.39992297,,
41,0.39258105,,
42,0.3860488,,
43,0.37887916,,
44,0.3725565,,
45,0.36626825,,
46,0.361122,,
47,0.35462123,,
48,0.34901527,,
49,0.34421998,,
50,0.33769763,,
51,0.33295602,,
52,0.32765037,,
53,0.32195368,,
54,0.31655294,,
55,0.31612644,,
56,0.3130198,,
57,0.31022426,,
58,0.30479562,,
59,0.30320442,,
60,0.29919747,,
61,0.29422122,,
62,0.29032132,,
63,0.2875671,,
64,0.2834457,,
65,0.27949026,,
66,0.27562785,,
67,0.27115053,,
68,0.26679963,,
69,0.2625041,,
70,0.26159918,,
71,0.2576201,,
72,0.2548339,,
73,0.2526223,,
74,0.24958178,,
75,0.24774782,,
76,0.24571149,,
77,0.24404544,,
78,0.24378115,,
79,0.24042301,,
80,0.23713502,,
81,0.23481847,,
82,0.23330964,,
83,0.23206948,,
84,0.22905564,,
85,0.22625136,,
86,0.22319064,,
87,0.22047158,,
88,0.21996732,,
89,0.21930645,,
90,0.21683489,,
91,0.21446133,,
92,0.21269366,,
93,0.21023273,,
94,0.20815685,,
95,0.20577824,,
96,0.2033004,,
97,0.2005487,,
98,0.19851835,,
99,0.19586761,,
100,0.19468872,,
101,0.19174968,,
102,0.19061455,,
103,0.1882346,,
104,0.1862198,,
105,0.18557465,,
106,0.18434957,,
107,0.18217184,,
108,0.17941982,,
109,0.17749467,,
110,0.1754795,,
111,0.17405961,,
112,0.17332964,,
113,0.17179188,,
114,0.1696158,,
115,0.16776608,,
116,0.16582756,,
117,0.16417235,,
118,0.1622998,,
119,0.15996884,,
120,0.1577334,,
121,0.1558163,,
122,0.1540418,,
123,0.15232891,,
124,0.15108815,,
125,0.1493698,,
126,0.14740197,,
127,0.146095,,
128,0.1443396,,
129,0.14282796,,
130,0.14146622,,
131,0.14000084,,
132,0.1389383,,
133,0.1384043,,
134,0.13769479,,
135,0.1371306,,
136,0.13681631,,
137,0.13646865,,
138,0.13528755,,
139,0.13448091,,
140,0.13683268,,
141,0.13500208,,
142,0.13412759,,
143,0.13282533,,
144,0.13359512,,
145,0.1330318,,
146,0.13184409,,
147,0.13128318,,
148,0.13075812,,
149,0.12965132,,
150,0.12838969,,
151,0.12761469,,
152,0.1272061,,
153,0.12558089,,
154,0.124076515,,
155,0.123298466,,
156,0.12216261,,
157,0.12080352,,
158,0.11969425,,
159,0.11870379,,
160,0.11805236,,
161,0.11748236,,
162,0.11614317,,
163,0.11538379,,
164,0.11432454,,
165,0.11318393,,
166,0.11205028,,
167,0.11103375,,
168,0.10988676,,
169,0.10883788,,
170,0.10914639,,
171,0.10819609,,
172,0.107458375,,
173,0.107791275,,
174,0.10718797,,
175,0.106707506,,
176,0.107758954,,
177,0.10691752,,
178,0.10578932,,
179,0.105424725,,
180,0.10572657,,
181,0.10455957,,
182,0.103577234,,
183,0.102758825,,
184,0.10148222,,
185,0.10058652,,
186,0.099328935,,
187,0.09832319,,
188,0.0985476,,
189,0.09742839,,
190,0.096562624,,
191,0.095655225,,
192,0.09490072,,
193,0.09534717,,
194,0.0944459,,
195,0.09367449,,
196,0.0927814,,
197,0.09170018,,
198,0.09165011,,
199,0.091261916,,
200,0.09012276,,
201,0.0898028,,
202,0.08915419,,
203,0.08974127,,
204,0.09033529,,
205,0.08984243,,
206,0.090306945,,
207,0.08972108,,
208,0.08916429,,
209,0.08964435,,
210,0.08865122,,
211,0.08843839,,
212,0.0882002,,
213,0.088341005,,
214,0.08838631,,
215,0.08812422,,
216,0.087915994,,
217,0.08839127,,
218,0.087598145,,
219,0.08689316,,
220,0.08640849,,
221,0.085691966,,
222,0.08511773,,
223,0.08483899,,
224,0.084440246,,
225,0.08418465,,
226,0.084220186,,
227,0.083559,,
228,0.08348129,,
229,0.08337785,,
230,0.08313986,,
231,0.08327234,,
232,0.08244923,,
233,0.08210126,,
234,0.08138427,,
235,0.080810376,,
236,0.08019079,,
237,0.07993203,,
238,0.07961143,,
239,0.078688286,,
240,0.07787812,,
241,0.07706819,,
242,0.07655038,,
243,0.07572987,,
244,0.07495461,,
245,0.07459753,,
246,0.073732845,,
247,0.07285417,,
248,0.07217415,,
249,0.0712667,,
250,0.07053196,,
251,0.06977508,,
252,0.0691411,,
253,0.06892481,,
254,0.068003275,,
255,0.0685205,,
256,0.067924455,,
257,0.06769648,,
258,0.06708305,,
259,0.06664934,,
260,0.06614278,,
261,0.06604949,,
262,0.06557518,,
263,0.06528765,,
264,0.06461817,,
265,0.06404713,,
266,0.063620694,,
267,0.063395634,,
268,0.063383736,,
269,0.06275009,,
270,0.064805046,,
271,0.06421561,,
272,0.063756965,,
273,0.06433451,,
274,0.06390118,,
275,0.063663244,,
276,0.063230835,,
277,0.0631414,,
278,0.06382806,,
279,0.064464994,,
280,0.06400815,,
281,0.064982004,,
282,0.06577649,,
283,0.06529009,,
284,0.06447052,,
285,0.06442218,,
286,0.06461501,,
287,0.065125614,,
288,0.065821834,,
289,0.065541156,,
290,0.06504124,,
291,0.06545809,,
292,0.06509097,,
293,0.064691775,,
294,0.064314544,,
295,0.063988894,,
296,0.06329062,,
297,0.06297482,,
298,0.0624216,,
299,0.06191727,,
300,0.062311728,,
301,0.061761085,,
302,0.062318858,,
303,0.06182732,,
304,0.061407506,,
305,0.061198335,,
306,0.06081596,,
307,0.06046903,,
308,0.060905028,,
309,0.060451414,,
310,0.060636796,,
311,0.0603574,,
312,0.059871614,,
313,0.059871998,,
314,0.061855976,,
315,0.061389152,,
316,0.06133422,,
317,0.061644185,,
318,0.061078962,,
319,0.061749224,,
320,0.061691877,,
321,0.061200924,,
322,0.06062932,,
323,0.062086802,,
324,0.062049128,,
325,0.061654635,,
326,0.061962053,,
327,0.06133943,,
328,0.061971746,,
329,0.061575342,,
330,0.061503984,,
331,0.061238352,,
332,0.060703415,,
333,0.060457103,,
334,0.060259882,,
335,0.059850406,,
336,0.06023773,,
337,0.05999304,,
338,0.059569005,,
339,0.06002013,,
340,0.059912425,,
341,0.06101948,,
342,0.061223164,,
343,0.060852103,,
344,0.06111821,,
345,0.06077516,,
346,0.059917018,,
347,0.05916213,,
348,0.059218585,,
349,0.059120983,,
350,0.05921461,,
351,0.060192488,,
352,0.05946807,,
353,0.0595419,,
354,0.059635997,,
355,0.059876923,,
356,0.059702527,,
357,0.05936527,,
358,0.059603345,,
359,0.059422985,,
360,0.059521165,,
361,0.059431825,,
362,0.059425425,,
363,0.05910081,,
364,0.05880475,,
365,0.058242228,,
366,0.057842474,,
367,0.057431027,,
368,0.056742243,,
369,0.056577306,,
370,0.056340735,,
371,0.05571318,,
372,0.055422988,,
373,0.054976407,,
374,0.0544329,,
375,0.053868093,,
376,0.05370796,,
377,0.053256102,,
378,0.052641146,,
379,0.05277894,,
380,0.05249512,,
381,0.05226538,,
382,0.051579047,,
383,0.051873464,,
384,0.05130644,,
385,0.051091228,,
386,0.050472844,,
387,0.051031288,,
388,0.050458193,,
389,0.049946472,,
390,0.049721867,,
391,0.049694695,,
392,0.049608145,,
393,0.049411114,,
394,0.04929662,,
395,0.04950079,,
396,0.049394134,,
397,0.048889082,,
398,0.04852095,,
399,0.04834243,,
400,0.04808051,,
401,0.047696896,,
402,0.047431465,,
403,0.04721553,,
404,0.047031734,,
405,0.046683833,,
406,0.046242997,,
407,0.04577487,,
408,0.045296174,,
409,0.04477097,,
410,0.044449784,,
411,0.044458687,,
412,0.044640567,,
413,0.04465312,,
414,0.044292096,,
415,0.043945853,,
416,0.043793216,,
417,0.043500554,,
418,0.043200336,,
419,0.04272505,,
420,0.042250846,,
421,0.042092096,,
422,0.041827664,,
423,0.041500922,,
424,0.041939177,,
425,0.041956134,,
426,0.042348213,,
427,0.04200964,,
428,0.041926056,,
429,0.0416527,,
